Model,MDO4104-3
Firmware Version,3.18

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,1.82,
Sample Interval,2e-05,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,20,0.02
Vertical Position,-0.18,-0.74
,,
,,
,,
Label,,
TIME,CH1,CH3
8.228800e-01,-0.51875,-0.00325938
8.229000e-01,-0.5375,-0.00175
8.229200e-01,-0.55,-0.00568125
8.229400e-01,-0.521875,-0.00460312
8.229600e-01,-0.5625,-0.0027875
8.229800e-01,-0.540625,-0.00369687
8.230000e-01,-0.534375,-0.00120937
8.230200e-01,-0.575,-0.00655312
8.230400e-01,-0.575,-0.00380938
8.230600e-01,-0.5875,-0.00331562
8.230800e-01,-0.5875,-0.00438437
8.231000e-01,-0.521875,-0.00157188
8.231200e-01,-0.565625,-0.006275
8.231400e-01,-0.540625,-0.00423437
8.231600e-01,-0.55,-0.0032375
8.231800e-01,-0.53125,-0.00462813
8.232000e-01,-0.53125,-0.0018
8.232200e-01,-0.575,-0.0059
8.232400e-01,-0.546875,-0.00465625
8.232600e-01,-0.540625,-0.00327188
8.232800e-01,-0.55,-0.00402188
8.233000e-01,-0.534375,-0.00176875
8.233200e-01,-0.559375,-0.00446563
8.233400e-01,-0.575,-0.00482812
8.233600e-01,-0.5625,-0.00399375
8.233800e-01,-0.56875,-0.00429375
8.234000e-01,-0.553125,-0.00265937
8.234200e-01,-0.534375,-0.00236875
8.234400e-01,-0.559375,-0.00544063
8.234600e-01,-0.553125,-0.00338437
8.234800e-01,-0.56875,-0.00387812
8.235000e-01,-0.578125,-0.00255312
8.235200e-01,-0.559375,-0.0024
8.235400e-01,-0.546875,-0.00575625
8.235600e-01,-0.553125,-0.00409687
8.235800e-01,-0.53125,-0.0031
8.236000e-01,-0.546875,-0.00269062
8.236200e-01,-0.565625,-0.00275625
8.236400e-01,-0.590625,-0.00542812
8.236600e-01,-0.575,-0.00497188
8.236800e-01,-0.546875,-0.00359687
8.237000e-01,-0.51875,-0.00265
8.237200e-01,-0.5375,-0.00167187
8.237400e-01,-0.559375,-0.00379062
8.237600e-01,-0.56875,-0.0050625
8.237800e-01,-0.55,-0.00261562
8.238000e-01,-0.575,-0.00354688
8.238200e-01,-0.5625,-0.00253438
8.238400e-01,-0.5375,-0.00438125
8.238600e-01,-0.5375,-0.00549062
8.238800e-01,-0.5125,-0.00278125
8.239000e-01,-0.553125,-0.00473125
8.239200e-01,-0.575,-0.00214375
8.239400e-01,-0.553125,-0.0027375
8.239600e-01,-0.546875,-0.00658125
8.239800e-01,-0.509375,-0.00277188
8.240000e-01,-0.478125,-0.004525
8.240200e-01,-0.5125,-0.0024125
8.240400e-01,-0.51875,-0.00175
8.240600e-01,-0.565625,-0.00601563
8.240800e-01,-0.55,-0.00276563
8.241000e-01,-0.521875,-0.00505
8.241200e-01,-0.484375,-0.002725
8.241400e-01,-0.5,-0.00170312
8.241600e-01,-0.53125,-0.0060875
8.241800e-01,-0.521875,-0.00289688
8.242000e-01,-0.540625,-0.00482812
8.242200e-01,-0.50625,-0.0018
8.242400e-01,-0.525,-0.00261562
8.242600e-01,-0.55,-0.00519688
8.242800e-01,-0.546875,-0.00404062
8.243000e-01,-0.56875,-0.00350312
8.243200e-01,-0.540625,-0.00195937
8.243400e-01,-0.5125,-0.00339375
8.243600e-01,-0.578125,-0.00353437
8.243800e-01,-0.565625,-0.00519688
8.244000e-01,-0.525,-0.0039875
8.244200e-01,-0.53125,-0.00274375
8.244400e-01,-0.546875,-0.00351563
8.244600e-01,-0.5,-0.0025625
8.244800e-01,-0.49375,-0.00595
8.245000e-01,-0.5125,-0.00292813
8.245200e-01,-0.525,-0.00301563
8.245400e-01,-0.51875,-0.00378437
8.245600e-01,-0.509375,-0.00142187
8.245800e-01,-0.5125,-0.00729063
8.246000e-01,-0.5625,-0.00267812
8.246200e-01,-0.575,-0.00438437
8.246400e-01,-0.553125,-0.00330625
8.246600e-01,-0.525,-0.00137813
8.246800e-01,-0.565625,-0.00720625
8.247000e-01,-0.5625,-0.00254063
8.247200e-01,-0.540625,-0.00410938
8.247400e-01,-0.546875,-0.003275
8.247600e-01,-0.540625,-0.000596875
8.247800e-01,-0.559375,-0.0064875
8.248000e-01,-0.559375,-0.0028375
8.248200e-01,-0.559375,-0.00458438
8.248400e-01,-0.55,-0.00335938
8.248600e-01,-0.540625,-0.002075
8.248800e-01,-0.534375,-0.00586875
8.249000e-01,-0.546875,-0.00375625
8.249200e-01,-0.540625,-0.00535937
8.249400e-01,-0.534375,-0.00284687
8.249600e-01,-0.5375,-0.003425
8.249800e-01,-0.53125,-0.003775
8.250000e-01,-0.5625,-0.0040625
8.250200e-01,-0.55,-0.00507812
8.250400e-01,-0.578125,-0.00225313
8.250600e-01,-0.559375,-0.00349687
8.250800e-01,-0.553125,-0.00267188
8.251000e-01,-0.559375,-0.00504375
8.251200e-01,-0.56875,-0.00384687
8.251400e-01,-0.5625,-0.00290937
8.251600e-01,-0.59375,-0.00355625
8.251800e-01,-0.590625,-0.0012125
8.252000e-01,-0.6,-0.0062375
8.252200e-01,-0.553125,-0.0037
8.252400e-01,-0.5625,-0.00312187
8.252600e-01,-0.6,-0.00434063
8.252800e-01,-0.590625,-0.0011
8.253000e-01,-0.565625,-0.006425
8.253200e-01,-0.55,-0.00325938
8.253400e-01,-0.575,-0.00349687
8.253600e-01,-0.58125,-0.0042125
8.253800e-01,-0.5375,-0.000909375
8.254000e-01,-0.553125,-0.006125
8.254200e-01,-0.559375,-0.0034
8.254400e-01,-0.559375,-0.00366875
8.254600e-01,-0.559375,-0.00360312
8.254800e-01,-0.5375,-0.00184062
8.255000e-01,-0.534375,-0.00461563
8.255200e-01,-0.49375,-0.00411875
8.255400e-01,-0.51875,-0.00379375
8.255600e-01,-0.565625,-0.00359687
8.255800e-01,-0.56875,-0.00179687
8.256000e-01,-0.5625,-0.00371563
8.256200e-01,-0.58125,-0.00521563
8.256400e-01,-0.540625,-0.0038625
8.256600e-01,-0.546875,-0.0029625
8.256800e-01,-0.51875,-0.00170625
8.257000e-01,-0.559375,-0.0030875
8.257200e-01,-0.5625,-0.00525625
8.257400e-01,-0.559375,-0.0043
8.257600e-01,-0.553125,-0.00345313
8.257800e-01,-0.509375,-0.00252187
8.258000e-01,-0.509375,-0.00248438
8.258200e-01,-0.521875,-0.00573437
8.258400e-01,-0.521875,-0.00411875
8.258600e-01,-0.559375,-0.00345313
8.258800e-01,-0.590625,-0.00334687
8.259000e-01,-0.5375,-0.00165313
8.259200e-01,-0.546875,-0.00575
8.259400e-01,-0.534375,-0.00454687
8.259600e-01,-0.521875,-0.00312187
8.259800e-01,-0.559375,-0.00353437
8.260000e-01,-0.55,-0.00193125
8.260200e-01,-0.521875,-0.00423125
8.260400e-01,-0.525,-0.0049
8.260600e-01,-0.540625,-0.00350625
8.260800e-01,-0.50625,-0.0041875
8.261000e-01,-0.559375,-0.00251875
8.261200e-01,-0.5125,-0.00380313
8.261400e-01,-0.55,-0.00540313
8.261600e-01,-0.55,-0.0033
8.261800e-01,-0.53125,-0.00443438
8.262000e-01,-0.490625,-0.00219375
8.262200e-01,-0.50625,-0.00245625
8.262400e-01,-0.5375,-0.0059875
8.262600e-01,-0.5125,-0.00304375
8.262800e-01,-0.51875,-0.00447812
8.263000e-01,-0.546875,-0.0024
8.263200e-01,-0.496875,-0.0025875
8.263400e-01,-0.525,-0.00594063
8.263600e-01,-0.553125,-0.003375
8.263800e-01,-0.534375,-0.00421875
